Nr_Pairs = 50
Nr_NDD = 0
(0,26), 0.2, 1
(1,3), 0.2, 1
(2,39), 0.2, 1
(2,47), 0.2, 1
(3,1), 0.2, 1
(3,8), 0.2, 1
(3,15), 0.2, 1
(4,9), 0.2, 1
(6,30), 0.2, 1
(8,1), 0.2, 1
(8,32), 0.2, 1
(8,45), 0.2, 1
(9,4), 0.2, 1
(9,44), 0.2, 1
(10,12), 0.2, 1
(10,23), 0.2, 1
(11,31), 0.2, 1
(11,38), 0.2, 1
(12,21), 0.2, 1
(12,23), 0.2, 1
(12,25), 0.2, 1
(13,38), 0.2, 1
(15,1), 0.2, 1
(17,9), 0.2, 1
(17,18), 0.2, 1
(17,31), 0.2, 1
(18,26), 0.2, 1
(18,36), 0.2, 1
(19,2), 0.2, 1
(19,40), 0.2, 1
(21,18), 0.2, 1
(23,10), 0.2, 1
(24,33), 0.2, 1
(25,26), 0.2, 1
(26,0), 0.2, 1
(26,12), 0.2, 1
(26,44), 0.2, 1
(30,2), 0.2, 1
(30,6), 0.2, 1
(30,39), 0.2, 1
(30,47), 0.2, 1
(30,49), 0.2, 1
(31,36), 0.2, 1
(31,38), 0.2, 1
(32,3), 0.2, 1
(32,8), 0.2, 1
(32,39), 0.2, 1
(32,40), 0.2, 1
(33,24), 0.2, 1
(35,42), 0.2, 1
(36,17), 0.2, 1
(36,31), 0.2, 1
(38,11), 0.2, 1
(38,13), 0.2, 1
(39,30), 0.2, 1
(39,45), 0.2, 1
(40,30), 0.2, 1
(40,32), 0.2, 1
(42,35), 0.2, 1
(42,39), 0.2, 1
(42,46), 0.2, 1
(44,17), 0.2, 1
(45,2), 0.2, 1
(45,3), 0.2, 1
(45,39), 0.2, 1
(45,46), 0.2, 1
(46,32), 0.2, 1
(46,42), 0.2, 1
(47,19), 0.2, 1
(49,32), 0.2, 1
Objective Value = 20.72
Computation Time = 7341
Nr Scenarios = 50
Nr Test = 70
